"pair_id","guide_1","guide_2","cut_1","cut_2","deletion_bp","mean_score"
"pair_3375","spacer_201","spacer_243",7675136,7676090,954,0.802149111429161
"pair_3246","spacer_196","spacer_243",7675103,7676090,987,0.800577544561557
"pair_3218","spacer_196","spacer_201",7675103,7675136,33,0.793856288087739
"pair_3666","spacer_215","spacer_243",7675184,7676090,906,0.784663685332679
"pair_4159","spacer_243","spacer_268",7676090,7676169,79,0.784610927925615
"pair_3359","spacer_201","spacer_215",7675136,7675184,48,0.777942428858861
"pair_3230","spacer_196","spacer_215",7675103,7675184,81,0.776370861991257
"pair_1344","spacer_137","spacer_151",7673717,7673811,94,0.774642261731933
"pair_1345","spacer_137","spacer_152",7673717,7673824,107,0.770883284657507
"pair_3673","spacer_215","spacer_268",7675184,7676169,985,0.760404245355315
"pair_3501","spacer_207","spacer_243",7675153,7676090,937,0.760225719644625
"pair_2591","spacer_174","spacer_201",7674862,7675136,274,0.756729793644501
"pair_2586","spacer_174","spacer_196",7674862,7675103,241,0.755158226776897
"pair_4180","spacer_243","spacer_299",7676090,7676580,490,0.754596059126169
"pair_1104","spacer_125","spacer_137",7673577,7673717,140,0.752956723927541
"pair_4177","spacer_243","spacer_292",7676090,7676527,437,0.752730017734061
"pair_3223","spacer_196","spacer_207",7675103,7675153,50,0.751932896303203
"pair_2801","spacer_182","spacer_201",7674944,7675136,192,0.750119137305007
"pair_2796","spacer_182","spacer_196",7674944,7675103,159,0.748547570437403
"pair_2603","spacer_174","spacer_215",7674862,7675184,322,0.739244367548019
"pair_1337","spacer_137","spacer_144",7673717,7673769,52,0.736838310058185
"pair_3485","spacer_207","spacer_215",7675153,7675184,31,0.736019037074325
"pair_1334","spacer_137","spacer_140",7673717,7673745,28,0.7328247225448
"pair_2813","spacer_182","spacer_215",7674944,7675184,240,0.732633711208525
"pair_4344","spacer_268","spacer_299",7676169,7676580,411,0.730336619148805
"pair_4341","spacer_268","spacer_292",7676169,7676527,358,0.728470577756697
"pair_3996","spacer_231","spacer_243",7676037,7676090,53,0.725994092350891
"pair_3370","spacer_201","spacer_231",7675136,7676037,901,0.719272835877072
"pair_3002","spacer_189","spacer_201",7675057,7675136,79,0.719083100981332
"pair_3241","spacer_196","spacer_231",7675103,7676037,934,0.717701269009469
"pair_2997","spacer_189","spacer_196",7675057,7675103,46,0.717511534113728
"pair_4169","spacer_243","spacer_280",7676090,7676227,137,0.716965392263437
"pair_2596","spacer_174","spacer_207",7674862,7675153,291,0.714806401859964
"pair_1115","spacer_125","spacer_151",7673577,7673811,234,0.714262157438024
"pair_2572","spacer_174","spacer_182",7674862,7674944,82,0.711421075994165
"pair_1116","spacer_125","spacer_152",7673577,7673824,247,0.710503180363598
"pair_2806","spacer_182","spacer_207",7674944,7675153,209,0.708195745520471
"pair_4179","spacer_243","spacer_297",7676090,7676556,466,0.702436731367056
"pair_3661","spacer_215","spacer_231",7675184,7676037,853,0.701787409780591
"pair_4003","spacer_231","spacer_268",7676037,7676169,132,0.701734652373527
"pair_3014","spacer_189","spacer_215",7675057,7675184,127,0.70159767488485
"pair_914","spacer_120","spacer_137",7673563,7673717,154,0.698568207994204
"pair_4548","spacer_292","spacer_299",7676527,7676580,53,0.698455708957251
"pair_1450","spacer_144","spacer_151",7673769,7673811,42,0.698143743568668
"pair_4153","spacer_243","spacer_254",7676090,7676124,34,0.698135914870465
"pair_3352","spacer_200","spacer_243",7675131,7676090,959,0.696139695862005
"pair_1451","spacer_144","spacer_152",7673769,7673824,55,0.694384766494243
"pair_1372","spacer_140","spacer_151",7673745,7673811,66,0.694130156055283
