"guide_id","transcript","tx_id","transcript_position","transcript_region","exon_number","distance_to_tss","strand","composite_score","seqnames","cut_site"
"spacer_1","ENST00000413465.6","314994",851,"exon",7,14648,"+",0.310472281027442,"chr17",7661946
"spacer_2","ENST00000413465.6","314994",850,"exon",7,14647,"+",0.37233401729227,"chr17",7661947
"spacer_3","ENST00000413465.6","314994",835,"exon",7,14632,"+",0.349328368802138,"chr17",7661962
"spacer_4","ENST00000413465.6","314994",824,"exon",7,14621,"-",0.319941744773289,"chr17",7661973
"spacer_5","ENST00000413465.6","314994",830,"exon",7,14627,"+",0.317774211861281,"chr17",7661967
"spacer_6","ENST00000413465.6","314994",807,"exon",7,14604,"-",0.368536071860477,"chr17",7661990
"spacer_7","ENST00000413465.6","314994",802,"exon",7,14599,"-",0.438783185553124,"chr17",7661995
"spacer_8","ENST00000413465.6","314994",806,"exon",7,14603,"+",0.442553623814635,"chr17",7661991
"spacer_9","ENST00000413465.6","314994",791,"exon",7,14588,"-",0.466806289019401,"chr17",7662006
"spacer_10","ENST00000413465.6","314994",788,"exon",7,14585,"-",0.318420517531044,"chr17",7662009
"spacer_11","ENST00000413465.6","314994",784,"exon",7,14581,"-",0.494292540413801,"chr17",7662013
"spacer_12","ENST00000413465.6","314994",789,"exon",7,14586,"+",0.391376361916566,"chr17",7662008
"spacer_13","ENST00000413465.6","314994",NA,"intron",NA,10407,"-",0.381713276308039,"chr17",7666187
"spacer_14","ENST00000413465.6","314994",NA,"intron",NA,10401,"-",0.721974769244692,"chr17",7666193
"spacer_15","ENST00000413465.6","314994",NA,"intron",NA,10398,"-",0.314190656609452,"chr17",7666196
"spacer_16","ENST00000413465.6","314994",NA,"intron",NA,10397,"-",0.469839300109202,"chr17",7666197
"spacer_17","ENST00000413465.6","314994",NA,"intron",NA,10396,"+",0.268716814112894,"chr17",7666198
"spacer_18","ENST00000413465.6","314994",NA,"intron",NA,10395,"+",0.503122586756301,"chr17",7666199
"spacer_19","ENST00000413465.6","314994",NA,"intron",NA,10387,"+",0.367741502502294,"chr17",7666207
"spacer_20","ENST00000413465.6","314994",NA,"intron",NA,10370,"-",0.461795243689223,"chr17",7666224
"spacer_21","ENST00000413465.6","314994",NA,"intron",NA,10367,"-",0.381697645000195,"chr17",7666227
"spacer_22","ENST00000413465.6","314994",NA,"intron",NA,10362,"-",0.377130162498896,"chr17",7666232
"spacer_23","ENST00000413465.6","314994",NA,"intron",NA,10368,"+",0.37067168305702,"chr17",7666226
"spacer_24","ENST00000413465.6","314994",NA,"intron",NA,10364,"+",0.398575593249986,"chr17",7666230
"spacer_25","ENST00000413465.6","314994",NA,"intron",NA,10357,"-",0.431885174049996,"chr17",7666237
"spacer_26","ENST00000413465.6","314994",NA,"intron",NA,9418,"-",0.374395755152727,"chr17",7667176
"spacer_27","ENST00000413465.6","314994",NA,"intron",NA,9393,"-",0.346085915540986,"chr17",7667201
"spacer_28","ENST00000413465.6","314994",NA,"intron",NA,9382,"+",0.299795721435546,"chr17",7667212
"spacer_29","ENST00000413465.6","314994",NA,"intron",NA,9381,"+",0.326245093717394,"chr17",7667213
"spacer_30","ENST00000413465.6","314994",NA,"intron",NA,9380,"+",0.420556413679556,"chr17",7667214
"spacer_31","ENST00000413465.6","314994",NA,"intron",NA,9379,"+",0.60104444103329,"chr17",7667215
"spacer_32","ENST00000413465.6","314994",NA,"intron",NA,9358,"-",0.437264577363526,"chr17",7667236
"spacer_33","ENST00000413465.6","314994",NA,"intron",NA,9357,"-",0.368391028090017,"chr17",7667237
"spacer_34","ENST00000413465.6","314994",NA,"intron",NA,9356,"-",0.305813257370782,"chr17",7667238
"spacer_35","ENST00000413465.6","314994",NA,"intron",NA,9347,"-",0.328925597056832,"chr17",7667247
"spacer_36","ENST00000413465.6","314994",NA,"intron",NA,9324,"+",0.375002593938775,"chr17",7667270
"spacer_37","ENST00000413465.6","314994",NA,"intron",NA,9311,"+",0.372437446063225,"chr17",7667283
"spacer_38","ENST00000413465.6","314994",NA,"intron",NA,9297,"-",0.383489947988759,"chr17",7667297
"spacer_39","ENST00000413465.6","314994",NA,"intron",NA,9294,"+",0.735052098896936,"chr17",7667300
"spacer_40","ENST00000413465.6","314994",NA,"intron",NA,9289,"+",0.42963297091075,"chr17",7667305
"spacer_41","ENST00000413465.6","314994",NA,"intron",NA,9284,"+",0.300806155852479,"chr17",7667310
"spacer_42","ENST00000413465.6","314994",NA,"intron",NA,9283,"+",0.619926628886321,"chr17",7667311
"spacer_43","ENST00000413465.6","314994",NA,"intron",NA,9270,"+",0.299841290182538,"chr17",7667324
"spacer_44","ENST00000413465.6","314994",NA,"intron",NA,9247,"-",0.476692076898218,"chr17",7667347
"spacer_45","ENST00000413465.6","314994",NA,"intron",NA,9250,"+",0.406248445576476,"chr17",7667344
"spacer_46","ENST00000413465.6","314994",NA,"intron",NA,9249,"+",0.395904791497111,"chr17",7667345
"spacer_47","ENST00000413465.6","314994",NA,"intron",NA,9245,"+",0.289722474141117,"chr17",7667349
"spacer_48","ENST00000413465.6","314994",NA,"intron",NA,9244,"+",0.460727979131389,"chr17",7667350
"spacer_49","ENST00000413465.6","314994",NA,"intron",NA,9211,"+",0.411921125691544,"chr17",7667383
"spacer_50","ENST00000413465.6","314994",NA,"intron",NA,9208,"+",0.644788729495284,"chr17",7667386
